passcode,route_surveyed,date,direction_id,timeperiodcode,purpose,origin_type_clean,origin_type_99_x,origin_address_coded,origin_lat,origin_lng,o_ST_785_AAZ,o_district_27,o_district_12,access_mode,access_99_x,access_walk_dist,accessparkloc_clean,accessparkloc_99_x,accesscarpoolloc_clean,accesscarpoolloc_99_x,access_bike_dist,access_park_cost_clean,access_park_freq_clean,dest_type_clean,dest_type_99_x,destination_address_coded,destination_lat,destination_lng,d_ST_785_AAZ,d_district_27,d_district_12,egress_mode,egress_99_x,egress_walk_dist,egressparkloc_clean,egressparkloc_99_x,egresscarpoolloc_clean,egresscarpoolloc_99_x,egress_bike_dist,egress_park_cost_clean,egress_park_freq_clean,board_stop_id,board_stop_name,board_stop_lat,board_stop_lon,b_ST_785_AAZ,b_district_27,b_district_12,alight_stop_id,alight_stop_name,alight_stop_lat,alight_stop_lon,a_ST_785_AAZ,a_district_27,a_district_12,fare_type_clean,fare_type_99_x,orca_emp_clean,orca_daynum_clean,children,numchildren_1_clean,numchildren_2_clean,fare_cat_clean,oneway_route_clean,oneway_all_clean,firsttimetransit,license,hhveh_clean,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,ethnicity_8,ethnicity_99,ethnicity_99_x,ethnicity_98,language_1,language_2,language_3,language_4,language_5,language_6,language_7,language_8,language_9,language_99,language_99_x,hhsize_clean,income_clean,route_1,route_2,route_3,route_4,total_transfers,routes_in_corridor,corridor_transfers,bad_record,board_segment,alight_segment,unlinked_weight,link_weight_factor,linked_weight,filter_$,route_surveyed2,route_new1,route_new2,route_new3,route_new4,access_new,egress_new,access_new2,egress_new2
LE20437,LINK,"Thursday, October 15, 2015",0,2,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,56173,Rainier Beach Station - Airport,47.522266,-122.279587,208,13,6,1,,2,#NULL!,1,#NULL!,#NULL!,2,6,#NULL!,0,2,#NULL!,0,1,0,1,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,,4,#NULL!,,,,,#NULL!,1,0,1,#NULL!,#NULL!,0,1,0,0,75,81,81,81,81,99,99,99,99
LE20800,LINK,"Monday, October 19, 2015",0,2,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,3,,2,#NULL!,1,#NULL!,#NULL!,1,15,10,0,1,5,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,,5,5,,,,,#NULL!,1,0,1,#NULL!,#NULL!,0,1,0,0,75,81,81,81,81,99,99,99,99
LE20828,LINK,"Monday, October 19, 2015",0,2,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,1,,#NULL!,#NULL!,1,#NULL!,#NULL!,1,20,#NULL!,0,1,1,0,0,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,,3,2,,,,,#NULL!,1,0,1,#NULL!,#NULL!,0,1,0,0,75,81,81,81,81,99,99,99,99
LE21856,LINK,"Tuesday, October 20, 2015",0,1,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99900,Tukwila Int'l Blvd Station - Airport,47.464272,-122.288399,352,15,7,7,,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,1,2,0,0,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,JAPANESE,4,11,,,,,#NULL!,1,0,1,#NULL!,#NULL!,0,1,0,0,75,81,81,81,81,99,99,99,99
LE23885,LINK,"Thursday, October 22, 2015",0,2,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,56159,Othello Station - Airport,47.537529,-122.281471,194,13,6,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,#NULL!,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,#NULL!,#NULL!,,,,,#NULL!,1,0,1,#NULL!,#NULL!,0,1,0,0,75,81,81,81,81,99,99,99,99
LE24925,LINK,"Monday, October 26, 2015",0,3,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,7,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,2,#NULL!,0,2,5,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,4,10,,,,,#NULL!,1,0,1,#NULL!,#NULL!,0,1,0,0,75,81,81,81,81,99,99,99,99
LE26022,LINK,"Monday, November 2, 2015",0,3,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,56159,Othello Station - Airport,47.537529,-122.281471,194,13,6,5,,1,#NULL!,1,#NULL!,#NULL!,1,10,#NULL!,0,2,0,0,0,0,0,0,1,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,,5,9,,,,,#NULL!,1,0,1,#NULL!,#NULL!,0,1,0,0,75,81,81,81,81,99,99,99,99
LE19919,LINK,"Wednesday, October 14, 2015",0,2,2,4,,"3013 S Mt Baker Blvd, Seattle, WA 98144, USA",47.57587,-122.29551,460,13,6,1,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,2,,"57th Ave S, Seattle, WA 98178, USA",47.49798,-122.26104,212,13,6,1,,3,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,56173,Rainier Beach Station - Airport,47.522266,-122.279587,208,13,6,1,,2,#NULL!,1,#NULL!,#NULL!,1,20,20,0,1,2,0,0,0,0,0,1,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,,4,10,100005,100479,,,1,1,0,0,3,4,15.68242396,1,15.68242396,1,75,80,75,81,81,80,99,8,99
LE11465,LINK,"Wednesday, October 14, 2015",0,2,2,4,,"University of Washington Plaza, Seattle, WA 98105, USA",47.66987,-122.31022,60,8,3,2,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,2,,"Renton Ave S & S Roxbury St, Seattle, WA 98118, USA",47.51685,-122.2696,462,13,6,2,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,56173,Rainier Beach Station - Airport,47.522266,-122.279587,208,13,6,5,,#NULL!,#NULL!,1,#NULL!,#NULL!,1,20,#NULL!,0,1,3,0,0,0,0,0,1,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,,5,#NULL!,100006,100479,100228,,2,2,1,0,3,4,15.68242396,0.5,7.84121198,1,75,80,75,48,81,80,48,8,8
LE15131,LINK,"Wednesday, October 21, 2015",0,2,2,2,,"2815 Mt St Helens Pl S, Seattle, WA 98144, USA",47.57779,-122.28691,165,13,6,1,,1,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,3,,"Seattle-Tacoma International Airport, 17801 International Blvd, Seattle, WA 98158, USA",47.45025,-122.30882,355,14,8,1,,3,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,3,,2,#NULL!,1,#NULL!,#NULL!,1,3,#NULL!,0,1,3,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,3,11,100039,100479,,,1,1,0,0,3,6,16.84587738,1,16.84587738,1,75,80,75,81,81,80,99,8,99
